Pista objetivo, Firma Identificada, Id de pista, Confianza, Inicio de firma, Alineacion ,
/home/nego/Escritorio/mp3/2016-mie-abr-27-2119.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,6.03719,130, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2028.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,0.65016,14, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2125.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,11.47066,247, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2045.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,3.71519,80, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1807.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,0.18576,4, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2322.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,9.14866,197, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1822.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.55111,98, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1922.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,11.33134,244, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2353.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,7.05887,152, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2228.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,7.52327,162, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1840.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.27247,92, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2057.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,4,1.34676,29, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2215.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,2.0898,45, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1847.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,2.64707,57, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2037.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,0.6966,15, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2042.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,4.82975,104, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2337.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,5.71211,123, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2255.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,5.20127,112, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1929.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,6.13007,132, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1817.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,11.14558,240, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2013.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,1.57896,34, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2314.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,1.81116,39, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2026.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,14.39637,310, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1836.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,10.86694,234, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2205.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,0.55728,12, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2003.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,18.66884,402, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1853.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,7.70902,166, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2200.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,11.0527,238, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2020.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,18.43664,397, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2120.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,1.99692,43, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2318.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,16.95057,365, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1959.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,13.23537,285, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1926.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,9.52018,205, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1904.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,0.0,0, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2149.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,6.87311,148, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2254.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,2.73995,59, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1830.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.17959,90, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1919.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,3.80807,82, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1849.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.59755,99, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2031.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,13.37469,288, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2315.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,14.76789,318, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2320.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,2.0898,45, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2344.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,17.13633,369, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2017.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.78331,103, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1946.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,9.24154,199, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1938.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,15.78957,340, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2310.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,2.46132,53, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2221.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,8.21986,177, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1910.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,10.03102,216, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1914.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.08671,88, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2248.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,4.73687,102, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2049.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,9.98458,215, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2151.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,8.0341,173, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2018.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,8.0341,173, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2327.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,16.85769,363, 
